name,a3,FID,cx,cy
Fiji,FJI,242,-8.650633769012217,-16.55697688580735
Tanzania,TZA,834,34.762134348681656,-6.25335161618393
W. Sahara,ESH,732,-13.111940053729834,24.667964844817128
Canada,CAN,124,-101.58378544808812,57.75765814095942
United States of America,USA,840,-99.09962194110955,39.49251307631946
Kazakhstan,KAZ,398,67.25660801833735,48.180307257341774
Uzbekistan,UZB,860,63.31566137060492,41.71843371123817
Papua New Guinea,PNG,598,144.1669777998423,-6.575508593155716
Indonesia,IDN,360,101.58378237305187,-0.434632075299463
Argentina,ARG,032,-65.16932185489812,-35.21907783745941
Chile,CHL,152,-71.67169402624059,-37.254159730503446
Dem. Rep. Congo,COD,180,23.585423591553386,-2.856312701062599
Somalia,SOM,706,45.730823671082675,4.7554233822109
Kenya,KEN,404,37.785309326190855,0.6068918025312184
Sudan,SDN,729,29.87670559334936,15.986417265105262
Chad,TCD,148,18.5657208243655,15.307106427897878
Haiti,HTI,332,-72.18470816016988,18.9305554184217
Dominican Rep.,DOM,214,-70.46242237058095,18.959274840837143
Ukraine,UKR,804,31.289136388813713,48.97353605471098
Russia,RUS,643,195.52283668175465,55.74014732679885
Bahamas,BHS,044,-77.997835455576,24.764324242393943
Falkland Is.,FLK,238,-59.847093013735766,-51.812493666747265
Norway,NOR,578,14.527251611186482,64.62854732290873
Greenland,GRL,304,-41.307199940858574,74.81274743298525
Fr. S. Antarctic Lands,ATF,260,69.55300466124875,-49.27706015208222
Timor-Leste,TLS,626,125.86873249343724,-8.860866435310918
South Africa,ZAF,710,25.17922979092802,-28.946206090603315
Lesotho,LSO,426,28.132128819351074,-29.688555959460498
Mexico,MEX,484,-102.57423412079903,23.936106032347894
Uruguay,URY,858,-55.99242936368258,-32.7777690749323
Brazil,BRA,076,-53.045152684986746,-10.77910600202085
Bolivia,BOL,068,-64.6541725989741,-16.736665638098348
Peru,PER,604,-74.36433218074258,-9.158670452383562
Colombia,COL,170,-73.07206846039205,3.9290781435534
Panama,PAN,591,-80.11509004767585,8.589169393592895
Costa Rica,CRI,188,-84.16398944801128,10.047293517377545
Nicaragua,NIC,558,-85.01378061832455,12.863128090819757
Honduras,HND,340,-86.58186643790407,14.837061168411138
El Salvador,SLV,222,-88.84728564567713,13.755836208641009
Guatemala,GTM,320,-90.36195545490794,15.643390734333444
Belize,BLZ,084,-88.70775979698514,17.185962659988935
Venezuela,VEN,862,-66.17571961954057,7.1567040868325025
Guyana,GUY,328,-58.98289752722046,4.807645322807996
Suriname,SUR,740,-55.90532570522531,4.136095381914129
France,FRA,250,2.375778684542916,46.59405832810192
Ecuador,ECU,218,-78.40460200383104,-1.459490633294073
Puerto Rico,PRI,630,-66.60117364761236,18.216681627258158
Jamaica,JAM,388,-77.04697704697705,18.117410729450427
Cuba,CUB,192,-78.69527543669085,21.545492136684224
Zimbabwe,ZWE,716,29.790691625132705,-18.921396049596943
Botswana,BWA,072,23.74197256797997,-22.097159872250018
Namibia,NAM,516,17.150566899370336,-22.131964118476873
Senegal,SEN,686,-14.471567563077851,14.301149061725077
Mali,MLI,466,-3.538709197901408,17.267057780147542
Mauritania,MRT,478,-10.33145106383926,20.216686461547027
Benin,BEN,204,2.3156420149702956,9.652469927127353
Niger,NER,562,9.300130752974088,17.35164182745484
Nigeria,NGA,566,7.995304573860066,9.546507701962652
Cameroon,CMR,120,12.577066054497305,5.669587595648335
Togo,TGO,768,0.9995616712280244,8.39187626616528
Ghana,GHA,288,-1.2271139821801151,7.916578866551307
C̫te d'Ivoire,CIV,384,-5.607111161921383,7.537341654005611
Guinea,GIN,324,-11.06610247585703,10.461606650947509
Guinea-Bissau,GNB,624,-15.118508882731746,12.013096506607479
Liberia,LBR,430,-9.40545180364451,6.437891875872753
Sierra Leone,SLE,694,-11.752099886156872,8.536023065536803
Burkina Faso,BFA,854,-1.7844007564962139,12.311110123753346
Central African Rep.,CAF,140,20.326482679918314,6.507415957877987
Congo,COG,178,15.144454577466004,-0.8477555478954315
Gabon,GAB,266,11.672485813670871,-0.650371446065364
Eq. Guinea,GNQ,226,10.41742690901657,1.6434040422143519
Zambia,ZMB,894,27.73888281420997,-13.426670482647317
Malawi,MWI,454,34.208061704278066,-13.152125009208461
Mozambique,MOZ,508,35.486649467526895,-17.214768956486772
eSwatini,SWZ,748,31.38053598085824,-26.46925459228791
Angola,AGO,024,17.50847840049828,-12.297070925921362
Burundi,BDI,108,29.86108498798222,-3.4472318888257925
Israel,ISR,376,34.9835027194739,31.520968028595345
Lebanon,LBN,422,35.89618475307206,33.85628196616029
Madagascar,MDG,450,46.68533959189688,-19.39869413237365
Palestine,PSE,275,35.2522872838093,31.930734053048464
Gambia,GMB,270,-16.266114841780478,13.381175515004545
Tunisia,TUN,788,9.505867108420835,34.12121490901078
Algeria,DZA,012,2.589758341767073,28.191319375228115
Jordan,JOR,400,36.72559464582639,31.258374499525335
United Arab Emirates,ARE,784,54.23783949712999,23.885347260419735
Qatar,QAT,634,51.197765617504146,25.299970299342124
Kuwait,KWT,414,47.56851488902649,29.323529848048736
Iraq,IRQ,368,43.74769801443747,33.03041501357702
Oman,OMN,512,56.116112665211205,20.558684303578577
Vanuatu,VUT,548,166.9403086936094,-15.244915795511286
Cambodia,KHM,116,104.86581459058355,12.726938652322147
Thailand,THA,764,101.04315886877916,15.067998927149256
Laos,LAO,418,103.73525646579283,18.472582374522997
Myanmar,MMR,104,96.51234739072275,21.0621973725785
Vietnam,VNM,704,106.26377416534908,16.728009534654717
North Korea,PRK,408,127.19054349687275,40.17890336051086
South Korea,KOR,410,127.7713272059761,36.44450101872253
Mongolia,MNG,496,102.97140376686448,46.80052980784927
India,IND,356,79.5551300931658,22.91098185382255
Bangladesh,BGD,050,90.28013170958491,23.813933385094813
Bhutan,BTN,064,90.4709431113874,27.396650455349125
Nepal,NPL,524,84.01340886255178,28.221956579089937
Pakistan,PAK,586,69.40777606793687,29.948398037539476
Afghanistan,AFG,004,66.10445805656764,33.84778898148844
Tajikistan,TJK,762,71.08242169610192,38.67419503796514
Kyrgyzstan,KGZ,417,74.80625973757653,41.548811134431126
Turkmenistan,TKM,795,59.357984997269355,39.09164347663996
Iran,IRN,364,54.298798384646574,32.51900262718401
Syria,SYR,760,38.55723708490701,35.00893007735669
Armenia,ARM,051,45.06058602626456,40.13549477200019
Sweden,SWE,752,16.618976643013518,62.85345888731787
Belarus,BLR,112,27.97128252019308,53.51724934710108
Poland,POL,616,19.34903661400991,52.15888993214834
Austria,AUT,040,14.219621657866025,47.65331496994133
Hungary,HUN,348,19.35293622922357,47.21648035786432
Moldova,MDA,498,28.358829313639053,47.24862782026891
Romania,ROU,642,24.887160254767984,45.812270726597795
Lithuania,LTU,440,23.82817936810705,55.3152300911972
Latvia,LVA,428,24.989950457139372,56.81385390697491
Estonia,EST,233,25.763631459013357,58.68064664006138
Germany,DEU,276,10.314651500502942,51.17159166916582
Bulgaria,BGR,100,25.30248741313803,42.74457824319563
Greece,GRC,300,22.616734429892688,39.46430936455668
Turkey,TUR,792,35.418613445352776,38.98139357381846
Albania,ALB,008,20.08231650965326,41.07917170422329
Croatia,HRV,191,16.62509408548926,44.98368167179056
Switzerland,CHE,756,8.138921839587603,46.84924679333059
Luxembourg,LUX,442,5.967905967905968,49.70715302875549
Belgium,BEL,056,4.6390101936469765,50.630075093357355
Netherlands,NLD,528,5.551407798103224,52.24090917595406
Portugal,PRT,620,-8.017752846948653,39.550012783236504
Spain,ESP,724,-3.615419725139929,40.38016811124553
Ireland,IRL,372,-8.028841931017322,53.156858663972905
New Caledonia,NCL,540,165.59555037617702,-21.30930992630582
Solomon Is.,SLB,090,159.14382619542943,-7.918609505748737
New Zealand,NZL,554,170.35689128127888,-44.110116637633894
Australia,AUS,036,134.3574468419405,-25.55408810099155
Sri Lanka,LKA,144,80.65254829469525,7.711711502479042
China,CHN,156,103.8110394999491,36.599362873768
Taiwan,TWN,158,120.95222199875356,23.748217279452977
Italy,ITA,380,11.785962009760713,43.94400934185649
Denmark,DNK,208,9.17873587435983,56.04720333618319
United Kingdom,GBR,826,-2.6711792450357774,53.95068152365929
Iceland,ISL,352,-19.013805522896003,65.05372655657966
Azerbaijan,AZE,031,47.6586714941508,40.251421652951336
Georgia,GEO,268,43.55427105100675,42.13605161699809
Philippines,PHL,608,121.51686538438996,15.83012102423655
Malaysia,MYS,458,114.6846448489562,3.5441851856488875
Brunei,BRN,096,115.000855000855,4.763412792204505
Slovenia,SVN,705,14.97011973534315,46.109371554370966
Finland,FIN,246,26.22204979654006,64.45223136207808
Slovakia,SVK,703,19.51401725896796,48.73079427866115
Czechia,CZE,203,15.37903594209453,49.78379957642852
Eritrea,ERI,232,38.64002097563558,15.39436294613944
Japan,JPN,392,136.8893173384586,36.04236476734794
Paraguay,PRY,600,-58.395797175181784,-23.252894811985435
Yemen,YEM,887,47.52308546542804,15.909020802445355
Saudi Arabia,SAU,682,44.528956966162454,24.12403576893965
Antarctica,ATA,010,31.082433336058727,-77.15266167448831
N. Cyprus,CYN,-1,33.45753345753346,35.19060346857016
Cyprus,CYP,196,33.228453228453226,34.92346370662616
Morocco,MAR,504,-6.291055730219461,31.93651056575867
Egypt,EGY,818,29.89673693594531,26.526245132529365
Libya,LBY,434,17.960638777611173,26.985406429977953
Ethiopia,ETH,231,39.57974167555959,8.638667297041165
Djibouti,DJI,262,42.482119157781234,11.740090324797706
Somaliland,SOL,-3,46.23280589323397,9.745009712032344
Uganda,UGA,800,32.35069750598383,1.311044971679579
Rwanda,RWA,646,29.93229188813011,-2.0335573669474147
Bosnia and Herz.,BIH,070,17.82834016170349,44.16772308882979
North Macedonia,MKD,807,21.727753419085644,41.613176925001795
Serbia,SRB,688,20.836424059203395,44.149023165693954
Montenegro,MNE,499,19.333500054151365,42.684824971620024
Kosovo,XKX,-2,20.782223140557985,42.510876360461744
Trinidad and Tobago,TTO,780,-61.32115302370287,10.427332962354262
S. Sudan,SSD,728,30.2093396138204,7.281410369006916
